Dataset_Task_ID,Name,Ref,N,d,C,perc_cat,Subset,Metric,Setting,Model,Score,BestScore,improvability
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Default,LightGBM,0.794,0.801,0.7000000000000006
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned,LightGBM,0.799,0.801,0.20000000000000018
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.799,0.801,0.20000000000000018
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Default,LightGBM,0.175,0.174,0.571428571428572
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned,LightGBM,0.175,0.174,0.571428571428572
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned + Ens.,LightGBM,0.175,0.174,0.571428571428572
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Default,LightGBM,0.217,0.204,5.990783410138254
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned,LightGBM,0.212,0.203,4.245283018867915
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned + Ens.,LightGBM,0.211,0.199,5.687203791469186
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Default,LightGBM,0.836,0.848,1.200000000000001
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned,LightGBM,0.844,0.851,0.7000000000000006
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.845,0.852,0.7000000000000006
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Default,LightGBM,0.748,0.776,2.8000000000000025
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned,LightGBM,0.751,0.761,1.0000000000000009
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.753,0.773,2.0000000000000018
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Default,LightGBM,0.798,0.846,4.799999999999994
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned,LightGBM,0.821,0.845,2.400000000000002
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned + Ens.,LightGBM,0.829,0.846,1.7000000000000015
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Default,LightGBM,0.488,0.405,17.00819672131147
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned,LightGBM,0.462,0.439,4.978354978354982
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned + Ens.,LightGBM,0.461,0.428,7.158351409978314
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Default,LightGBM,8563.0,7985.0,6.749970804624547
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned,LightGBM,8124.0,7829.0,3.63121614967996
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned + Ens.,LightGBM,7961.0,7711.0,3.1403090064062305
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Default,LightGBM,0.934,0.937,0.30000000000000027
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned,LightGBM,0.935,0.937,0.20000000000000018
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.935,0.937,0.20000000000000018
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Default,LightGBM,3.477,2.912,16.249640494679323
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned,LightGBM,3.381,3.056,9.612540668441284
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned + Ens.,LightGBM,3.384,2.985,11.790780141843973
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Default,LightGBM,0.954,0.974,2.0000000000000018
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned,LightGBM,0.955,0.979,2.400000000000002
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.957,0.981,2.400000000000002
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Default,LightGBM,0.927,0.938,1.0999999999999899
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned,LightGBM,0.933,0.934,0.10000000000000009
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.933,0.936,0.30000000000000027
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Default,LightGBM,0.752,0.783,3.1000000000000028
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned,LightGBM,0.77,0.772,0.20000000000000018
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.771,0.771,0.0
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Default,LightGBM,0.111,0.107,3.603603603603607
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned,LightGBM,0.103,0.103,0.0
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,LightGBM,0.102,0.099,2.9411764705882244
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Default,LightGBM,0.555,0.534,3.783783783783787
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned,LightGBM,0.543,0.529,2.5782688766114203
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned + Ens.,LightGBM,0.542,0.527,2.7675276752767553
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Default,LightGBM,9.41,9.08,3.506907545164719
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned,LightGBM,9.28,9.28,0.0
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned + Ens.,LightGBM,9.26,9.22,0.43196544276456966
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Default,LightGBM,0.938,0.944,0.6000000000000005
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned,LightGBM,0.943,0.944,0.10000000000000009
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned + Ens.,LightGBM,0.944,0.946,0.20000000000000018
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Default,LightGBM,0.255,0.228,10.588235294117645
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned,LightGBM,0.249,0.223,10.44176706827309
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,LightGBM,0.247,0.222,10.12145748987854
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Default,LightGBM,0.628,0.59,6.050955414012744
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned,LightGBM,0.607,0.605,0.32948929159802337
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned + Ens.,LightGBM,0.608,0.599,1.480263157894738
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Default,CatBoost,0.992,0.993,0.10000000000000009
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned,CatBoost,0.992,0.992,0.0
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.992,0.993,0.10000000000000009
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Default,CatBoost,0.882,0.882,0.0
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned,CatBoost,0.883,0.883,0.0
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.883,0.883,0.0
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Default,CatBoost,738.1,724.0,1.9103102560628673
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned,CatBoost,736.3,733.2,0.42102403911447905
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned + Ens.,CatBoost,732.9,726.6,0.8595988538681886
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Default,CatBoost,0.87,0.872,0.20000000000000018
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned,CatBoost,0.87,0.874,0.40000000000000036
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.87,0.874,0.40000000000000036
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Default,CatBoost,0.872,0.873,0.10000000000000009
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned,CatBoost,0.875,0.875,0.0
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned + Ens.,CatBoost,0.874,0.878,0.40000000000000036
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Default,CatBoost,0.671,0.671,0.0
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned,CatBoost,0.671,0.671,0.0
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.672,0.673,0.10000000000000009
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Default,CatBoost,0.744,0.744,0.0
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned,CatBoost,0.742,0.744,0.20000000000000018
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.741,0.744,0.30000000000000027
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Default,CatBoost,0.814,0.822,0.8000000000000007
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned,CatBoost,0.812,0.82,0.7999999999999896
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.811,0.819,0.7999999999999896
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Default,CatBoost,7.379,7.379,0.0
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned,CatBoost,7.367,7.367,0.0
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned + Ens.,CatBoost,7.368,7.362,0.08143322475570342
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Default,CatBoost,0.866,0.866,0.0
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned,CatBoost,0.867,0.867,0.0
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.867,0.867,0.0
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Default,CatBoost,0.804,0.805,0.10000000000000009
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned,CatBoost,0.804,0.804,0.0
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.804,0.805,0.10000000000000009
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Default,CatBoost,0.748,0.751,0.30000000000000027
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned,CatBoost,0.743,0.745,0.20000000000000018
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.744,0.748,0.40000000000000036
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Default,CatBoost,0.455,0.432,5.054945054945059
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned,CatBoost,0.453,0.431,4.856512141280358
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned + Ens.,CatBoost,0.451,0.43,4.656319290465636
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Default,CatBoost,0.907,0.915,0.8000000000000007
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned,CatBoost,0.904,0.916,1.200000000000001
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.903,0.919,1.6000000000000014
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Default,CatBoost,0.986,0.987,0.10000000000000009
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Tuned,CatBoost,0.986,0.986,0.0
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.986,0.987,0.10000000000000009
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Default,CatBoost,0.774,0.761,1.6795865633074951
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Tuned,CatBoost,0.773,0.744,3.751617076326006
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Tuned + Ens.,CatBoost,0.771,0.734,4.798962386511029
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Default,CatBoost,0.877,0.859,2.0524515393386564
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Tuned,CatBoost,0.875,0.873,0.22857142857142876
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Tuned + Ens.,CatBoost,0.874,0.86,1.6018306636155621
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Default,CatBoost,0.075,0.074,1.3333333333333346
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Tuned,CatBoost,0.074,0.073,1.3513513513513526
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Tuned + Ens.,CatBoost,0.074,0.067,9.459459459459449
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Default,CatBoost,1.583,1.119,29.311433986102337
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned,CatBoost,1.327,1.112,16.201959306706847
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned + Ens.,CatBoost,1.33,1.074,19.24812030075188
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Default,CatBoost,0.04,0.016,60.0
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned,CatBoost,0.022,0.022,0.0
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned + Ens.,CatBoost,0.021,0.019,9.52380952380953
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Default,CatBoost,0.766,0.766,0.0
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned,CatBoost,0.766,0.766,0.0
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.765,0.766,0.10000000000000009
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Default,CatBoost,0.738,0.756,1.8000000000000016
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned,CatBoost,0.737,0.754,1.7000000000000015
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.736,0.756,2.0000000000000018
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Default,CatBoost,0.924,0.928,0.40000000000000036
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned,CatBoost,0.92,0.932,1.200000000000001
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.922,0.931,0.9000000000000008
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Default,CatBoost,0.757,0.761,0.40000000000000036
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned,CatBoost,0.758,0.773,1.5000000000000013
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.759,0.773,1.4000000000000012
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Default,CatBoost,4.214,4.214,0.0
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned,CatBoost,4.231,4.171,1.4181044670290621
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned + Ens.,CatBoost,4.209,4.118,2.1620337372297294
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Default,CatBoost,0.789,0.793,0.40000000000000036
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Tuned,CatBoost,0.795,0.795,0.0
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.795,0.796,0.10000000000000009
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Default,CatBoost,0.784,0.788,0.40000000000000036
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Tuned,CatBoost,0.785,0.788,0.30000000000000027
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.785,0.788,0.30000000000000027
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Default,CatBoost,0.995,0.995,0.0
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Tuned,CatBoost,0.995,0.995,0.0
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.995,0.996,0.10000000000000009
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Default,CatBoost,0.833,0.844,1.100000000000001
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Tuned,CatBoost,0.834,0.842,0.8000000000000007
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.835,0.84,0.5000000000000004
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Default,CatBoost,520.7,520.7,0.0
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Tuned,CatBoost,520.7,520.7,0.0
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Tuned + Ens.,CatBoost,520.8,510.3,2.016129032258054
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Default,CatBoost,0.974,0.992,1.8000000000000016
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Tuned,CatBoost,0.975,0.989,1.4000000000000012
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.974,0.989,1.5000000000000013
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Default,CatBoost,4535.4,4508.4,0.5953168408519646
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Tuned,CatBoost,4518.2,4499.7,0.40945509273604536
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Tuned + Ens.,CatBoost,4519.2,4490.4,0.6372809346787083
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Default,CatBoost,0.798,0.801,0.30000000000000027
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned,CatBoost,0.798,0.801,0.30000000000000027
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.798,0.801,0.30000000000000027
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Default,CatBoost,0.176,0.174,1.1363636363636374
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned,CatBoost,0.177,0.174,1.6949152542372898
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned + Ens.,CatBoost,0.177,0.174,1.6949152542372898
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Default,CatBoost,0.211,0.204,3.3175355450237
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned,CatBoost,0.211,0.203,3.791469194312787
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned + Ens.,CatBoost,0.211,0.199,5.687203791469186
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Default,CatBoost,0.84,0.848,0.8000000000000007
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned,CatBoost,0.843,0.851,0.8000000000000007
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.844,0.852,0.8000000000000007
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Default,CatBoost,0.744,0.776,3.200000000000003
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned,CatBoost,0.751,0.761,1.0000000000000009
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.749,0.773,2.400000000000002
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Default,CatBoost,0.846,0.846,0.0
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned,CatBoost,0.845,0.845,0.0
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned + Ens.,CatBoost,0.845,0.846,0.10000000000000009
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Default,CatBoost,0.478,0.405,15.271966527196643
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned,CatBoost,0.463,0.439,5.18358531317495
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned + Ens.,CatBoost,0.459,0.428,6.753812636165583
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Default,CatBoost,7985.0,7985.0,0.0
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned,CatBoost,7836.0,7829.0,0.08933129147524246
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned + Ens.,CatBoost,7847.0,7711.0,1.7331464253854976
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Default,CatBoost,0.934,0.937,0.30000000000000027
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned,CatBoost,0.933,0.937,0.40000000000000036
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.934,0.937,0.30000000000000027
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Default,CatBoost,3.522,2.912,17.319704713231115
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned,CatBoost,3.395,3.056,9.985272459499264
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned + Ens.,CatBoost,3.383,2.985,11.764705882352946
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Default,CatBoost,0.961,0.974,1.3000000000000012
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned,CatBoost,0.961,0.979,1.8000000000000016
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.96,0.981,2.100000000000002
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Default,CatBoost,0.93,0.938,0.7999999999999896
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned,CatBoost,0.931,0.934,0.30000000000000027
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.932,0.936,0.40000000000000036
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Default,CatBoost,0.776,0.783,0.7000000000000006
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned,CatBoost,0.772,0.772,0.0
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,CatBoost,0.767,0.771,0.40000000000000036
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Default,CatBoost,0.11,0.107,2.7272727272727297
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned,CatBoost,0.115,0.103,10.434782608695661
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,CatBoost,0.111,0.099,10.810810810810807
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Default,CatBoost,0.552,0.534,3.260869565217394
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned,CatBoost,0.543,0.529,2.5782688766114203
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned + Ens.,CatBoost,0.541,0.527,2.587800369685769
