epoch,val_loss
1,0.883504
2,0.794737
3,0.731012
4,0.692127
5,0.641443
6,0.614345
7,0.572927
8,0.559294
9,0.542148
10,0.527885
11,0.535795
12,0.520478
13,0.519524
14,0.517814
15,0.536283
16,0.510854
17,0.523321
18,0.512734
19,0.527303
20,0.520624
21,0.517662
22,0.509881
23,0.509405
24,0.506838
25,0.513146
26,0.506647
27,0.501423
28,0.494853
29,0.504926
30,0.524133
31,0.500736
32,0.497417
33,0.501302
34,0.496921
35,0.493061
36,0.490408
37,0.498691
38,0.495486
39,0.488477
40,0.495985
41,0.492373
42,0.497927
43,0.49874
44,0.498113
45,0.498842
46,0.501486
47,0.499073
48,0.499316
49,0.497937
50,0.507362
51,0.50304
52,0.509558
53,0.507075
54,0.510401
55,0.509335
56,0.513572
57,0.512627
58,0.51425
59,0.5146
60,0.515594
61,0.515294
62,0.515318
63,0.515082
64,0.515084
65,0.515116
66,0.515142
67,0.515145
68,0.515177
69,0.515531
70,0.516059
71,0.516441
72,0.516291
73,0.515875
74,0.517788
75,0.517375
76,0.517886
77,0.521104
78,0.521994
79,0.522286
80,0.525853
81,0.52716
82,0.526659
83,0.527424
84,0.52944
85,0.533021
86,0.537758
87,0.535602
88,0.541619
89,0.54453
90,0.547983
91,0.56225
92,0.553131
93,0.558404
94,0.561499
95,0.568776
96,0.567917
97,0.569419
98,0.570646
99,0.564406
100,0.577405
101,0.582188
102,0.584618
103,0.588871
104,0.593132
105,0.581404
106,0.590204
107,0.60166
108,0.61483
109,0.597134
110,0.609115
111,0.598272
112,0.605836
113,0.608588
114,0.611327
115,0.605848
116,0.627554
117,0.61017
118,0.612309
119,0.605334
120,0.6237
121,0.609007
122,0.627023
123,0.621473
124,0.617079
125,0.614684
126,0.62113
127,0.618472
128,0.6262
129,0.612524
130,0.623365
131,0.611993
132,0.610693
133,0.601805
134,0.614024
135,0.615381
136,0.605746
137,0.617461
138,0.601367
139,0.614833
140,0.606283
141,0.606079
142,0.614257
143,0.606302
144,0.602059
145,0.60439
146,0.597251
147,0.592831
148,0.598041
149,0.596138
150,0.592199
151,0.591312
152,0.586592
153,0.586438
154,0.589187
155,0.585786
156,0.589754
157,0.593563
158,0.586621
159,0.591046
160,0.591337
161,0.581556
162,0.591787
163,0.581548
164,0.584429
165,0.581925
166,0.57868
167,0.577852
168,0.575562
169,0.581961
170,0.576635
171,0.574576
172,0.573617
173,0.568982
174,0.56939
175,0.57414
176,0.572104
177,0.570739
178,0.571729
179,0.568983
180,0.570462
181,0.567872
182,0.569005
183,0.568896
184,0.567132
185,0.566937
186,0.566597
187,0.567392
188,0.569314
189,0.567562
190,0.566671
191,0.566685
192,0.566107
193,0.566029
194,0.56631
195,0.566331
196,0.566328
197,0.56618
198,0.566099
199,0.566077
200,0.566077
201,0.566079
202,0.56608
203,0.566104
204,0.566199
205,0.566154
206,0.566257
207,0.566095
208,0.56593
209,0.565
210,0.564355
211,0.564754
212,0.564826
213,0.563026
214,0.564759
215,0.567057
216,0.564245
217,0.563556
218,0.566014
219,0.565613
220,0.564937
221,0.564452
222,0.566173
223,0.564576
224,0.568975
225,0.56475
226,0.567945
227,0.570368
228,0.56705
229,0.564696
230,0.570353
231,0.566556
232,0.567004
233,0.570886
234,0.565914
235,0.565784
236,0.572395
237,0.566007
238,0.57333
239,0.570219
240,0.567721
241,0.567427
242,0.571869
243,0.573474
244,0.569669
245,0.567828
246,0.570558
247,0.573288
248,0.572461
249,0.569685
250,0.569323
251,0.578121
252,0.571656
253,0.575341
254,0.565959
255,0.582044
256,0.575897
257,0.56794
258,0.571908
259,0.574526
260,0.569449
261,0.566759
262,0.571598
263,0.574734
264,0.573417
265,0.574015
266,0.579684
267,0.567562
268,0.575499
269,0.569688
270,0.582992
271,0.576461
272,0.577453
273,0.576959
274,0.578251
275,0.579962
276,0.578363
277,0.572589
278,0.57997
279,0.577101
280,0.579919
281,0.57477
282,0.581269
283,0.581896
284,0.578951
285,0.580984
286,0.588164
287,0.577152
288,0.582777
289,0.592525
