Model,Threshold,Mean Pred,Precision,Recall,F1 Score,ROC AUC,Brier Score,ACE,FPR,FNR,Total Pos Pred_x,Total Pos Pred_y
LGBM Basic,0.5,0.0292291316772519,0.7894736842105263,0.3,0.4347826086956521,0.8864126984126983,0.0216197781648857,0.0098012344572288,0.0025396825396825,0.7,19,19
LGBM Basic (T),0.0151501864437055,0.0292291316772519,0.099537037037037,0.86,0.1784232365145228,0.8864126984126983,0.0216197781648857,0.0098012344572288,0.2469841269841269,0.14,430,430
LGBM Over,0.5,0.117592445282679,0.2195121951219512,0.54,0.3121387283236994,0.8540190476190477,0.0570020362631096,0.0911695921889842,0.0609523809523809,0.46,123,123
LGBM Weighted,0.5,0.1172656219129558,0.21875,0.56,0.3146067415730337,0.8587301587301588,0.0578209043627806,0.0907044531154159,0.0634920634920634,0.44,128,128
Logistic Basic,0.5,0.0310625912672213,0.0,0.0,0.0,0.7523047619047619,0.0295674892234993,0.0148700666630797,0.0006349206349206,1.0,1,1
Logistic Basic (T),0.0250349544991114,0.0310625912672213,0.0688336520076481,0.72,0.1256544502617801,0.7523047619047619,0.0295674892234993,0.0148700666630797,0.3092063492063492,0.28,522,522
Logistic Over,0.5,0.3499613431544457,0.0619658119658119,0.58,0.1119691119691119,0.743695238095238,0.1859926401336306,0.3186029245467361,0.2787301587301587,0.42,468,468
Logistic Weighted,0.5,0.3495543026804046,0.0657894736842105,0.6,0.1185770750988142,0.7515301587301588,0.1832884658911233,0.318197653517897,0.2704761904761905,0.4,456,456
