GEOID,NAME,variable,estimate,moe
05039,"Dallas County, Arkansas",population,7432,NA
05041,"Desha County, Arkansas",population,11887,NA
05043,"Drew County, Arkansas",population,18502,NA
05045,"Faulkner County, Arkansas",population,122416,NA
05047,"Franklin County, Arkansas",population,17780,NA
05049,"Fulton County, Arkansas",population,12139,NA
05051,"Garland County, Arkansas",population,98296,NA
05053,"Grant County, Arkansas",population,18086,NA
05055,"Greene County, Arkansas",population,44623,NA
05057,"Hempstead County, Arkansas",population,22018,NA
05059,"Hot Spring County, Arkansas",population,33520,NA
05061,"Howard County, Arkansas",population,13389,NA
05063,"Independence County, Arkansas",population,37264,NA
05065,"Izard County, Arkansas",population,13559,NA
05067,"Jackson County, Arkansas",population,17225,NA
05069,"Jefferson County, Arkansas",population,70424,NA
05071,"Johnson County, Arkansas",population,26291,NA
05073,"Lafayette County, Arkansas",population,6915,NA
05075,"Lawrence County, Arkansas",population,16669,NA
05077,"Lee County, Arkansas",population,9398,NA
05079,"Lincoln County, Arkansas",population,13695,NA
05081,"Little River County, Arkansas",population,12417,NA
05083,"Logan County, Arkansas",population,21757,NA
05085,"Lonoke County, Arkansas",population,72206,NA
05087,"Madison County, Arkansas",population,16076,NA
05089,"Marion County, Arkansas",population,16438,NA
05091,"Miller County, Arkansas",population,43759,NA
05093,"Mississippi County, Arkansas",population,42831,NA
05095,"Monroe County, Arkansas",population,7249,NA
05097,"Montgomery County, Arkansas",population,8993,NA
05099,"Nevada County, Arkansas",population,8440,NA
05101,"Newton County, Arkansas",population,7848,NA
05103,"Ouachita County, Arkansas",population,24106,NA
05105,"Perry County, Arkansas",population,10322,NA
05107,"Phillips County, Arkansas",population,19034,NA
05109,"Pike County, Arkansas",population,10808,NA
05111,"Poinsett County, Arkansas",population,24054,NA
05113,"Polk County, Arkansas",population,20163,NA
05115,"Pope County, Arkansas",population,63644,NA
05117,"Prairie County, Arkansas",population,8244,NA
05119,"Pulaski County, Arkansas",population,393463,NA
05121,"Randolph County, Arkansas",population,17603,NA
05123,"St. Francis County, Arkansas",population,26294,NA
05125,"Saline County, Arkansas",population,118009,NA
05127,"Scott County, Arkansas",population,10442,NA
05129,"Searcy County, Arkansas",population,7923,NA
05131,"Sebastian County, Arkansas",population,127461,NA
05133,"Sevier County, Arkansas",population,17193,NA
05135,"Sharp County, Arkansas",population,17043,NA
05137,"Stone County, Arkansas",population,12446,NA
05139,"Union County, Arkansas",population,39732,NA
05141,"Van Buren County, Arkansas",population,16684,NA
05143,"Washington County, Arkansas",population,228529,NA
05145,"White County, Arkansas",population,78804,NA
05147,"Woodruff County, Arkansas",population,6660,NA
05149,"Yell County, Arkansas",population,21573,NA
06001,"Alameda County, California",population,1643700,NA
06003,"Alpine County, California",population,1146,161
06005,"Amador County, California",population,37829,NA
06007,"Butte County, California",population,227075,NA
06009,"Calaveras County, California",population,45235,NA
06011,"Colusa County, California",population,21464,NA
06013,"Contra Costa County, California",population,1133247,NA
06015,"Del Norte County, California",population,27424,NA
06017,"El Dorado County, California",population,186661,NA
06019,"Fresno County, California",population,978130,NA
06021,"Glenn County, California",population,27897,NA
06023,"Humboldt County, California",population,135768,NA
06025,"Imperial County, California",population,180216,NA
06027,"Inyo County, California",population,18085,NA
06029,"Kern County, California",population,883053,NA
06031,"Kings County, California",population,150075,NA
06033,"Lake County, California",population,64148,NA
06035,"Lassen County, California",population,31185,NA
06037,"Los Angeles County, California",population,10098052,NA
06039,"Madera County, California",population,155013,NA
06041,"Marin County, California",population,260295,NA
06043,"Mariposa County, California",population,17540,NA
06045,"Mendocino County, California",population,87422,NA
06047,"Merced County, California",population,269075,NA
06049,"Modoc County, California",population,8938,NA
06051,"Mono County, California",population,14174,NA
06053,"Monterey County, California",population,433212,NA
06055,"Napa County, California",population,140530,NA
06057,"Nevada County, California",population,99092,NA
06059,"Orange County, California",population,3164182,NA
06061,"Placer County, California",population,380077,NA
06063,"Plumas County, California",population,18699,NA
06065,"Riverside County, California",population,2383286,NA
06067,"Sacramento County, California",population,1510023,NA
06069,"San Benito County, California",population,59416,NA
