GEOID,NAME,variable,estimate,moe
17013,"Calhoun County, Illinois",population,4858,NA
17015,"Carroll County, Illinois",population,14562,NA
17017,"Cass County, Illinois",population,12665,NA
17019,"Champaign County, Illinois",population,209448,NA
17021,"Christian County, Illinois",population,33231,NA
17023,"Clark County, Illinois",population,15836,NA
17025,"Clay County, Illinois",population,13338,NA
17027,"Clinton County, Illinois",population,37628,NA
17029,"Coles County, Illinois",population,51736,NA
17031,"Cook County, Illinois",population,5223719,NA
17033,"Crawford County, Illinois",population,19088,NA
17035,"Cumberland County, Illinois",population,10865,NA
17037,"DeKalb County, Illinois",population,104200,NA
17039,"De Witt County, Illinois",population,16042,NA
17041,"Douglas County, Illinois",population,19714,NA
17043,"DuPage County, Illinois",population,931743,NA
17045,"Edgar County, Illinois",population,17539,NA
17047,"Edwards County, Illinois",population,6507,NA
17049,"Effingham County, Illinois",population,34174,NA
17051,"Fayette County, Illinois",population,21724,NA
17053,"Ford County, Illinois",population,13398,NA
17055,"Franklin County, Illinois",population,39127,NA
17057,"Fulton County, Illinois",population,35418,NA
17059,"Gallatin County, Illinois",population,5157,NA
17061,"Greene County, Illinois",population,13218,NA
17063,"Grundy County, Illinois",population,50509,NA
17065,"Hamilton County, Illinois",population,8221,NA
17067,"Hancock County, Illinois",population,18112,NA
17069,"Hardin County, Illinois",population,4009,NA
17071,"Henderson County, Illinois",population,6884,NA
17073,"Henry County, Illinois",population,49464,NA
17075,"Iroquois County, Illinois",population,28169,NA
17077,"Jackson County, Illinois",population,58551,NA
17079,"Jasper County, Illinois",population,9598,NA
17081,"Jefferson County, Illinois",population,38169,NA
17083,"Jersey County, Illinois",population,22069,NA
17085,"Jo Daviess County, Illinois",population,21834,NA
17087,"Johnson County, Illinois",population,12602,NA
17089,"Kane County, Illinois",population,530839,NA
17091,"Kankakee County, Illinois",population,111061,NA
17093,"Kendall County, Illinois",population,124626,NA
17095,"Knox County, Illinois",population,50999,NA
17097,"Lake County, Illinois",population,703619,NA
17099,"LaSalle County, Illinois",population,110401,NA
17101,"Lawrence County, Illinois",population,16189,NA
17103,"Lee County, Illinois",population,34527,NA
17105,"Livingston County, Illinois",population,36324,NA
17107,"Logan County, Illinois",population,29207,NA
17109,"McDonough County, Illinois",population,30875,NA
17111,"McHenry County, Illinois",population,307789,NA
17113,"McLean County, Illinois",population,173219,NA
17115,"Macon County, Illinois",population,106512,NA
17117,"Macoupin County, Illinois",population,45719,NA
17119,"Madison County, Illinois",population,265670,NA
17121,"Marion County, Illinois",population,38084,NA
17123,"Marshall County, Illinois",population,11794,NA
17125,"Mason County, Illinois",population,13778,NA
17127,"Massac County, Illinois",population,14430,NA
17129,"Menard County, Illinois",population,12367,NA
17131,"Mercer County, Illinois",population,15693,NA
17133,"Monroe County, Illinois",population,33936,NA
17135,"Montgomery County, Illinois",population,29009,NA
17137,"Morgan County, Illinois",population,34426,NA
17139,"Moultrie County, Illinois",population,14703,NA
17141,"Ogle County, Illinois",population,51328,NA
17143,"Peoria County, Illinois",population,184463,NA
17145,"Perry County, Illinois",population,21384,NA
17147,"Piatt County, Illinois",population,16427,NA
17149,"Pike County, Illinois",population,15754,NA
17151,"Pope County, Illinois",population,4249,NA
17153,"Pulaski County, Illinois",population,5611,NA
17155,"Putnam County, Illinois",population,5746,NA
17157,"Randolph County, Illinois",population,32546,NA
17159,"Richland County, Illinois",population,15881,NA
17161,"Rock Island County, Illinois",population,145275,NA
17163,"St. Clair County, Illinois",population,263463,NA
17165,"Saline County, Illinois",population,24231,NA
17167,"Sangamon County, Illinois",population,197661,NA
17169,"Schuyler County, Illinois",population,7064,NA
17171,"Scott County, Illinois",population,5047,NA
17173,"Shelby County, Illinois",population,21832,NA
17175,"Stark County, Illinois",population,5500,NA
17177,"Stephenson County, Illinois",population,45433,NA
17179,"Tazewell County, Illinois",population,133852,NA
17181,"Union County, Illinois",population,17127,NA
17183,"Vermilion County, Illinois",population,78407,NA
17185,"Wabash County, Illinois",population,11573,NA
17187,"Warren County, Illinois",population,17338,NA
17189,"Washington County, Illinois",population,14155,NA
17191,"Wayne County, Illinois",population,16487,NA
17193,"White County, Illinois",population,14025,NA
17195,"Whiteside County, Illinois",population,56396,NA
17197,"Will County, Illinois",population,688697,NA
17199,"Williamson County, Illinois",population,67299,NA
17201,"Winnebago County, Illinois",population,286174,NA
17203,"Woodford County, Illinois",population,38817,NA
18001,"Adams County, Indiana",population,35195,NA
18003,"Allen County, Indiana",population,370016,NA
18005,"Bartholomew County, Indiana",population,81893,NA
18007,"Benton County, Indiana",population,8667,NA
18009,"Blackford County, Indiana",population,12129,NA
18011,"Boone County, Indiana",population,64321,NA
18013,"Brown County, Indiana",population,15034,NA
18015,"Carroll County, Indiana",population,19994,NA
18017,"Cass County, Indiana",population,38084,NA
18019,"Clark County, Indiana",population,115702,NA
18021,"Clay County, Indiana",population,26268,NA
18023,"Clinton County, Indiana",population,32301,NA
18025,"Crawford County, Indiana",population,10581,NA
18027,"Daviess County, Indiana",population,32937,NA
18029,"Dearborn County, Indiana",population,49501,NA
18031,"Decatur County, Indiana",population,26552,NA
18033,"DeKalb County, Indiana",population,42704,NA
18035,"Delaware County, Indiana",population,115616,NA
18037,"Dubois County, Indiana",population,42418,NA
18039,"Elkhart County, Indiana",population,203604,NA
18041,"Fayette County, Indiana",population,23259,NA
18043,"Floyd County, Indiana",population,76809,NA
18045,"Fountain County, Indiana",population,16486,NA
18047,"Franklin County, Indiana",population,22842,NA
18049,"Fulton County, Indiana",population,20212,NA
18051,"Gibson County, Indiana",population,33596,NA
18053,"Grant County, Indiana",population,66944,NA
18055,"Greene County, Indiana",population,32295,NA
18057,"Hamilton County, Indiana",population,316095,NA
18059,"Hancock County, Indiana",population,73830,NA
18061,"Harrison County, Indiana",population,39712,NA
18063,"Hendricks County, Indiana",population,160940,NA
18065,"Henry County, Indiana",population,48483,NA
18067,"Howard County, Indiana",population,82387,NA
18069,"Huntington County, Indiana",population,36378,NA
18071,"Jackson County, Indiana",population,43938,NA
18073,"Jasper County, Indiana",population,33449,NA
18075,"Jay County, Indiana",population,20993,NA
18077,"Jefferson County, Indiana",population,32237,NA
18079,"Jennings County, Indiana",population,27727,NA
18081,"Johnson County, Indiana",population,151564,NA
18083,"Knox County, Indiana",population,37409,NA
18085,"Kosciusko County, Indiana",population,78806,NA
18087,"LaGrange County, Indiana",population,38942,NA
18089,"Lake County, Indiana",population,486849,NA
18091,"LaPorte County, Indiana",population,110552,NA
18093,"Lawrence County, Indiana",population,45619,NA
18095,"Madison County, Indiana",population,129505,NA
18097,"Marion County, Indiana",population,944523,NA
18099,"Marshall County, Indiana",population,46595,NA
18101,"Martin County, Indiana",population,10210,NA
18103,"Miami County, Indiana",population,35901,NA
18105,"Monroe County, Indiana",population,145403,NA
18107,"Montgomery County, Indiana",population,38276,NA
18109,"Morgan County, Indiana",population,69727,NA
18111,"Newton County, Indiana",population,14018,NA
18113,"Noble County, Indiana",population,47451,NA
18115,"Ohio County, Indiana",population,5887,NA
18117,"Orange County, Indiana",population,19547,NA
18119,"Owen County, Indiana",population,20878,NA
18121,"Parke County, Indiana",population,16996,NA
18123,"Perry County, Indiana",population,19141,NA
18125,"Pike County, Indiana",population,12411,NA
18127,"Porter County, Indiana",population,168041,NA
18129,"Posey County, Indiana",population,25589,NA
18131,"Pulaski County, Indiana",population,12660,NA
18133,"Putnam County, Indiana",population,37559,NA
18135,"Randolph County, Indiana",population,25076,NA
18137,"Ripley County, Indiana",population,28425,NA
18139,"Rush County, Indiana",population,16704,NA
18141,"St. Joseph County, Indiana",population,269240,NA
18143,"Scott County, Indiana",population,23743,NA
18145,"Shelby County, Indiana",population,44399,NA
18147,"Spencer County, Indiana",population,20526,NA
18149,"Starke County, Indiana",population,22941,NA
18151,"Steuben County, Indiana",population,34474,NA
18153,"Sullivan County, Indiana",population,20792,NA
18155,"Switzerland County, Indiana",population,10628,NA
18157,"Tippecanoe County, Indiana",population,189294,NA
18159,"Tipton County, Indiana",population,15218,NA
18161,"Union County, Indiana",population,7153,NA
18163,"Vanderburgh County, Indiana",population,181313,NA
18165,"Vermillion County, Indiana",population,15560,NA
18167,"Vigo County, Indiana",population,107693,NA
18169,"Wabash County, Indiana",population,31631,NA
18171,"Warren County, Indiana",population,8247,NA
18173,"Warrick County, Indiana",population,61928,NA
18175,"Washington County, Indiana",population,27827,NA
18177,"Wayne County, Indiana",population,66613,NA
18179,"Wells County, Indiana",population,27947,NA
18181,"White County, Indiana",population,24217,NA
18183,"Whitley County, Indiana",population,33649,NA
19001,"Adair County, Iowa",population,7124,NA
19003,"Adams County, Iowa",population,3726,NA
19005,"Allamakee County, Iowa",population,13880,NA
19007,"Appanoose County, Iowa",population,12510,NA
19009,"Audubon County, Iowa",population,5637,NA
19011,"Benton County, Iowa",population,25626,NA
19013,"Black Hawk County, Iowa",population,133009,NA
19015,"Boone County, Iowa",population,26399,NA
19017,"Bremer County, Iowa",population,24782,NA
19019,"Buchanan County, Iowa",population,21125,NA
19021,"Buena Vista County, Iowa",population,20260,NA
19023,"Butler County, Iowa",population,14735,NA
19025,"Calhoun County, Iowa",population,9780,NA
19027,"Carroll County, Iowa",population,20344,NA
19029,"Cass County, Iowa",population,13191,NA
19031,"Cedar County, Iowa",population,18445,NA
19033,"Cerro Gordo County, Iowa",population,42984,NA
19035,"Cherokee County, Iowa",population,11468,NA
19037,"Chickasaw County, Iowa",population,12099,NA
19039,"Clarke County, Iowa",population,9282,NA
19041,"Clay County, Iowa",population,16313,NA
19043,"Clayton County, Iowa",population,17672,NA
19045,"Clinton County, Iowa",population,47218,NA
19047,"Crawford County, Iowa",population,17132,NA
19049,"Dallas County, Iowa",population,84002,NA
19051,"Davis County, Iowa",population,8885,NA
19053,"Decatur County, Iowa",population,8044,NA
19055,"Delaware County, Iowa",population,17258,NA
19057,"Des Moines County, Iowa",population,39600,NA
19059,"Dickinson County, Iowa",population,17056,NA
19061,"Dubuque County, Iowa",population,96802,NA
19063,"Emmet County, Iowa",population,9551,NA
19065,"Fayette County, Iowa",population,19929,NA
19067,"Floyd County, Iowa",population,15858,NA
19069,"Franklin County, Iowa",population,10245,NA
19071,"Fremont County, Iowa",population,6968,NA
19073,"Greene County, Iowa",population,9003,NA
19075,"Grundy County, Iowa",population,12341,NA
19077,"Guthrie County, Iowa",population,10674,NA
19079,"Hamilton County, Iowa",population,15110,NA
19081,"Hancock County, Iowa",population,10888,NA
19083,"Hardin County, Iowa",population,17127,NA
19085,"Harrison County, Iowa",population,14143,NA
19087,"Henry County, Iowa",population,19926,NA
19089,"Howard County, Iowa",population,9264,NA
19091,"Humboldt County, Iowa",population,9566,NA
19093,"Ida County, Iowa",population,6916,NA
19095,"Iowa County, Iowa",population,16207,NA
19097,"Jackson County, Iowa",population,19395,NA
19099,"Jasper County, Iowa",population,36891,NA
19101,"Jefferson County, Iowa",population,18077,NA
19103,"Johnson County, Iowa",population,147001,NA
19105,"Jones County, Iowa",population,20568,NA
19107,"Keokuk County, Iowa",population,10200,NA
19109,"Kossuth County, Iowa",population,15075,NA
19111,"Lee County, Iowa",population,34541,NA
19113,"Linn County, Iowa",population,222121,NA
19115,"Louisa County, Iowa",population,11223,NA
19117,"Lucas County, Iowa",population,8597,NA
19119,"Lyon County, Iowa",population,11769,NA
19121,"Madison County, Iowa",population,15890,NA
19123,"Mahaska County, Iowa",population,22208,NA
19125,"Marion County, Iowa",population,33207,NA
19127,"Marshall County, Iowa",population,40271,NA
19129,"Mills County, Iowa",population,14957,NA
19131,"Mitchell County, Iowa",population,10631,NA
19133,"Monona County, Iowa",population,8796,NA
19135,"Monroe County, Iowa",population,7863,NA
19137,"Montgomery County, Iowa",population,10155,NA
19139,"Muscatine County, Iowa",population,42950,NA
19141,"O'Brien County, Iowa",population,13911,NA
19143,"Osceola County, Iowa",population,6115,NA
19145,"Page County, Iowa",population,15363,NA
19147,"Palo Alto County, Iowa",population,9055,NA
19149,"Plymouth County, Iowa",population,25039,NA
19151,"Pocahontas County, Iowa",population,6898,NA
19153,"Polk County, Iowa",population,474274,NA
19155,"Pottawattamie County, Iowa",population,93503,NA
19157,"Poweshiek County, Iowa",population,18605,NA
19159,"Ringgold County, Iowa",population,4984,NA
19161,"Sac County, Iowa",population,9868,NA
19163,"Scott County, Iowa",population,172288,NA
19165,"Shelby County, Iowa",population,11694,NA
19167,"Sioux County, Iowa",population,34825,NA
19169,"Story County, Iowa",population,96922,NA
19171,"Tama County, Iowa",population,17136,NA
19173,"Taylor County, Iowa",population,6201,NA
19175,"Union County, Iowa",population,12453,NA
19177,"Van Buren County, Iowa",population,7223,NA
19179,"Wapello County, Iowa",population,35315,NA
19181,"Warren County, Iowa",population,49361,NA
19183,"Washington County, Iowa",population,22143,NA
19185,"Wayne County, Iowa",population,6413,NA
19187,"Webster County, Iowa",population,36757,NA
19189,"Winnebago County, Iowa",population,10571,NA
19191,"Winneshiek County, Iowa",population,20401,NA
19193,"Woodbury County, Iowa",population,102398,NA
19195,"Worth County, Iowa",population,7489,NA
19197,"Wright County, Iowa",population,12804,NA
20001,"Allen County, Kansas",population,12630,NA
20003,"Anderson County, Kansas",population,7852,NA
20005,"Atchison County, Kansas",population,16363,NA
20007,"Barber County, Kansas",population,4733,149
20009,"Barton County, Kansas",population,26791,NA
20011,"Bourbon County, Kansas",population,14702,NA
20013,"Brown County, Kansas",population,9664,NA
20015,"Butler County, Kansas",population,66468,NA
20017,"Chase County, Kansas",population,2645,NA
20019,"Chautauqua County, Kansas",population,3367,NA
20021,"Cherokee County, Kansas",population,20331,NA
20023,"Cheyenne County, Kansas",population,2677,NA
20025,"Clark County, Kansas",population,2053,NA
20027,"Clay County, Kansas",population,8142,NA
20029,"Cloud County, Kansas",population,9060,NA
20031,"Coffey County, Kansas",population,8296,NA
20033,"Comanche County, Kansas",population,1780,149
20035,"Cowley County, Kansas",population,35591,NA
20037,"Crawford County, Kansas",population,39108,NA
20039,"Decatur County, Kansas",population,2881,NA
20041,"Dickinson County, Kansas",population,19004,NA
20043,"Doniphan County, Kansas",population,7736,NA
20045,"Douglas County, Kansas",population,119319,NA
20047,"Edwards County, Kansas",population,2925,NA
20049,"Elk County, Kansas",population,2562,NA
20051,"Ellis County, Kansas",population,28878,NA
20053,"Ellsworth County, Kansas",population,6293,NA
20055,"Finney County, Kansas",population,36957,NA
20057,"Ford County, Kansas",population,34484,NA
20059,"Franklin County, Kansas",population,25563,NA
20061,"Geary County, Kansas",population,34895,NA
20063,"Gove County, Kansas",population,2619,114
20065,"Graham County, Kansas",population,2545,NA
20067,"Grant County, Kansas",population,7616,NA
20069,"Gray County, Kansas",population,6037,NA
20071,"Greeley County, Kansas",population,1200,112
20073,"Greenwood County, Kansas",population,6156,NA
20075,"Hamilton County, Kansas",population,2616,NA
20077,"Harper County, Kansas",population,5673,NA
20079,"Harvey County, Kansas",population,34555,NA
20081,"Haskell County, Kansas",population,4047,NA
20083,"Hodgeman County, Kansas",population,1842,132
20085,"Jackson County, Kansas",population,13318,NA
20087,"Jefferson County, Kansas",population,18888,NA
20089,"Jewell County, Kansas",population,2916,NA
20091,"Johnson County, Kansas",population,585502,NA
20093,"Kearny County, Kansas",population,3932,NA
20095,"Kingman County, Kansas",population,7470,NA
20097,"Kiowa County, Kansas",population,2526,NA
20099,"Labette County, Kansas",population,20367,NA
20101,"Lane County, Kansas",population,1642,114
20103,"Leavenworth County, Kansas",population,80042,NA
20105,"Lincoln County, Kansas",population,3097,NA
20107,"Linn County, Kansas",population,9635,NA
20109,"Logan County, Kansas",population,2810,NA
20111,"Lyon County, Kansas",population,33299,NA
20113,"McPherson County, Kansas",population,28630,NA
20115,"Marion County, Kansas",population,12032,NA
20117,"Marshall County, Kansas",population,9798,NA
20119,"Meade County, Kansas",population,4261,NA
20121,"Miami County, Kansas",population,33127,NA
20123,"Mitchell County, Kansas",population,6222,NA
20125,"Montgomery County, Kansas",population,32970,NA
20127,"Morris County, Kansas",population,5566,NA
20129,"Morton County, Kansas",population,2838,NA
20131,"Nemaha County, Kansas",population,10104,NA
20133,"Neosho County, Kansas",population,16125,NA
20135,"Ness County, Kansas",population,2955,NA
20137,"Norton County, Kansas",population,5486,NA
20139,"Osage County, Kansas",population,15882,NA
20141,"Osborne County, Kansas",population,3603,NA
20143,"Ottawa County, Kansas",population,5902,NA
20145,"Pawnee County, Kansas",population,6709,NA
20147,"Phillips County, Kansas",population,5408,NA
20149,"Pottawatomie County, Kansas",population,23545,NA
20151,"Pratt County, Kansas",population,9582,NA
20153,"Rawlins County, Kansas",population,2509,NA
20155,"Reno County, Kansas",population,63101,NA
20157,"Republic County, Kansas",population,4686,NA
20159,"Rice County, Kansas",population,9762,NA
20161,"Riley County, Kansas",population,75296,NA
20163,"Rooks County, Kansas",population,5118,NA
20165,"Rush County, Kansas",population,3102,132
20167,"Russell County, Kansas",population,6977,NA
20169,"Saline County, Kansas",population,54977,NA
20171,"Scott County, Kansas",population,4949,NA
20173,"Sedgwick County, Kansas",population,512064,NA
20175,"Seward County, Kansas",population,22692,NA
20177,"Shawnee County, Kansas",population,178284,NA
20179,"Sheridan County, Kansas",population,2506,NA
20181,"Sherman County, Kansas",population,5966,NA
20183,"Smith County, Kansas",population,3663,NA
20185,"Stafford County, Kansas",population,4214,NA
20187,"Stanton County, Kansas",population,2063,NA
20189,"Stevens County, Kansas",population,5686,NA
20191,"Sumner County, Kansas",population,23208,NA
20193,"Thomas County, Kansas",population,7824,NA
20195,"Trego County, Kansas",population,2858,NA
20197,"Wabaunsee County, Kansas",population,6888,NA
20199,"Wallace County, Kansas",population,1575,112
20201,"Washington County, Kansas",population,5525,NA
20203,"Wichita County, Kansas",population,2143,NA
20205,"Wilson County, Kansas",population,8780,NA
20207,"Woodson County, Kansas",population,3170,NA
20209,"Wyandotte County, Kansas",population,164345,NA
21001,"Adair County, Kentucky",population,19241,NA
21003,"Allen County, Kentucky",population,20794,NA
21005,"Anderson County, Kentucky",population,22214,NA
21007,"Ballard County, Kentucky",population,8090,NA
21009,"Barren County, Kentucky",population,43680,NA
21011,"Bath County, Kentucky",population,12268,NA
21013,"Bell County, Kentucky",population,27188,NA
21015,"Boone County, Kentucky",population,129095,NA
21017,"Bourbon County, Kentucky",population,20144,NA
21019,"Boyd County, Kentucky",population,48091,NA
21021,"Boyle County, Kentucky",population,29913,NA
21023,"Bracken County, Kentucky",population,8306,NA
21025,"Breathitt County, Kentucky",population,13116,NA
21027,"Breckinridge County, Kentucky",population,20080,NA
21029,"Bullitt County, Kentucky",population,79466,NA
21031,"Butler County, Kentucky",population,12745,NA
21033,"Caldwell County, Kentucky",population,12727,NA
21035,"Calloway County, Kentucky",population,38776,NA
21037,"Campbell County, Kentucky",population,92267,NA
21039,"Carlisle County, Kentucky",population,4841,NA
21041,"Carroll County, Kentucky",population,10711,NA
21043,"Carter County, Kentucky",population,27290,NA
21045,"Casey County, Kentucky",population,15796,NA
21047,"Christian County, Kentucky",population,72263,NA
21049,"Clark County, Kentucky",population,35872,NA
21051,"Clay County, Kentucky",population,20621,NA
21053,"Clinton County, Kentucky",population,10211,NA
21055,"Crittenden County, Kentucky",population,9083,NA
21057,"Cumberland County, Kentucky",population,6713,NA
21059,"Daviess County, Kentucky",population,99937,NA
21061,"Edmonson County, Kentucky",population,12122,NA
21063,"Elliott County, Kentucky",population,7517,NA
21065,"Estill County, Kentucky",population,14313,NA
21067,"Fayette County, Kentucky",population,318734,NA
21069,"Fleming County, Kentucky",population,14479,NA
21071,"Floyd County, Kentucky",population,36926,NA
21073,"Franklin County, Kentucky",population,50296,NA
21075,"Fulton County, Kentucky",population,6210,NA
21077,"Gallatin County, Kentucky",population,8703,NA
21079,"Garrard County, Kentucky",population,17328,NA
21081,"Grant County, Kentucky",population,24915,NA
21083,"Graves County, Kentucky",population,37294,NA
21085,"Grayson County, Kentucky",population,26178,NA
21087,"Green County, Kentucky",population,11023,NA
21089,"Greenup County, Kentucky",population,35765,NA
21091,"Hancock County, Kentucky",population,8719,NA
21093,"Hardin County, Kentucky",population,108095,NA
21095,"Harlan County, Kentucky",population,27134,NA
21097,"Harrison County, Kentucky",population,18668,NA
21099,"Hart County, Kentucky",population,18627,NA
21101,"Henderson County, Kentucky",population,46137,NA
21103,"Henry County, Kentucky",population,15814,NA
21105,"Hickman County, Kentucky",population,4568,NA
21107,"Hopkins County, Kentucky",population,45664,NA
21109,"Jackson County, Kentucky",population,13373,NA
21111,"Jefferson County, Kentucky",population,767154,NA
21113,"Jessamine County, Kentucky",population,52422,NA
21115,"Johnson County, Kentucky",population,22843,NA
21117,"Kenton County, Kentucky",population,164688,NA
21119,"Knott County, Kentucky",population,15513,NA
21121,"Knox County, Kentucky",population,31467,NA
21123,"Larue County, Kentucky",population,14156,NA
21125,"Laurel County, Kentucky",population,60180,NA
21127,"Lawrence County, Kentucky",population,15783,NA
21129,"Lee County, Kentucky",population,6751,NA
21131,"Leslie County, Kentucky",population,10472,NA
21133,"Letcher County, Kentucky",population,22676,NA
21135,"Lewis County, Kentucky",population,13490,NA
21137,"Lincoln County, Kentucky",population,24458,NA
21139,"Livingston County, Kentucky",population,9263,NA
21141,"Logan County, Kentucky",population,26849,NA
21143,"Lyon County, Kentucky",population,8186,NA
21145,"McCracken County, Kentucky",population,65284,NA
21147,"McCreary County, Kentucky",population,17635,NA
21149,"McLean County, Kentucky",population,9331,NA
21151,"Madison County, Kentucky",population,89700,NA
21153,"Magoffin County, Kentucky",population,12666,NA
21155,"Marion County, Kentucky",population,19232,NA
21157,"Marshall County, Kentucky",population,31166,NA
21159,"Martin County, Kentucky",population,11919,NA
21161,"Mason County, Kentucky",population,17153,NA
21163,"Meade County, Kentucky",population,28326,NA
21165,"Menifee County, Kentucky",population,6405,NA
21167,"Mercer County, Kentucky",population,21516,NA
21169,"Metcalfe County, Kentucky",population,10004,NA
21171,"Monroe County, Kentucky",population,10634,NA
21173,"Montgomery County, Kentucky",population,27759,NA
21175,"Morgan County, Kentucky",population,13285,NA
21177,"Muhlenberg County, Kentucky",population,31081,NA
21179,"Nelson County, Kentucky",population,45388,NA
21181,"Nicholas County, Kentucky",population,7100,NA
21183,"Ohio County, Kentucky",population,24071,NA
21185,"Oldham County, Kentucky",population,65374,NA
21187,"Owen County, Kentucky",population,10741,NA
21189,"Owsley County, Kentucky",population,4463,NA
21191,"Pendleton County, Kentucky",population,14520,NA
21193,"Perry County, Kentucky",population,26917,NA
21195,"Pike County, Kentucky",population,60483,NA
21197,"Powell County, Kentucky",population,12321,NA
21199,"Pulaski County, Kentucky",population,64145,NA
21201,"Robertson County, Kentucky",population,2143,NA
21203,"Rockcastle County, Kentucky",population,16827,NA
21205,"Rowan County, Kentucky",population,24499,NA
21207,"Russell County, Kentucky",population,17760,NA
21209,"Scott County, Kentucky",population,53517,NA
21211,"Shelby County, Kentucky",population,46786,NA
21213,"Simpson County, Kentucky",population,18063,NA
21215,"Spencer County, Kentucky",population,18246,NA
21217,"Taylor County, Kentucky",population,25500,NA
21219,"Todd County, Kentucky",population,12350,NA
21221,"Trigg County, Kentucky",population,14344,NA
21223,"Trimble County, Kentucky",population,8637,NA
21225,"Union County, Kentucky",population,14802,NA
21227,"Warren County, Kentucky",population,126427,NA
21229,"Washington County, Kentucky",population,12019,NA
21231,"Wayne County, Kentucky",population,20609,NA
21233,"Webster County, Kentucky",population,13155,NA
21235,"Whitley County, Kentucky",population,36089,NA
21237,"Wolfe County, Kentucky",population,7223,NA
21239,"Woodford County, Kentucky",population,26097,NA
22001,"Acadia Parish, Louisiana",population,62568,NA
22003,"Allen Parish, Louisiana",population,25661,NA
22005,"Ascension Parish, Louisiana",population,121176,NA
22007,"Assumption Parish, Louisiana",population,22714,NA
22009,"Avoyelles Parish, Louisiana",population,40882,NA
22011,"Beauregard Parish, Louisiana",population,36769,NA
22013,"Bienville Parish, Louisiana",population,13668,NA
22015,"Bossier Parish, Louisiana",population,126131,NA
22017,"Caddo Parish, Louisiana",population,248361,NA
22019,"Calcasieu Parish, Louisiana",population,200182,NA
22021,"Caldwell Parish, Louisiana",population,9996,NA
22023,"Cameron Parish, Louisiana",population,6868,NA
22025,"Catahoula Parish, Louisiana",population,9893,NA
22027,"Claiborne Parish, Louisiana",population,16153,NA
22029,"Concordia Parish, Louisiana",population,20021,NA
22031,"De Soto Parish, Louisiana",population,27216,NA
22033,"East Baton Rouge Parish, Louisiana",population,444094,NA
22035,"East Carroll Parish, Louisiana",population,7225,NA
22037,"East Feliciana Parish, Louisiana",population,19499,NA
22039,"Evangeline Parish, Louisiana",population,33636,NA
22041,"Franklin Parish, Louisiana",population,20322,NA
22043,"Grant Parish, Louisiana",population,22348,NA
22045,"Iberia Parish, Louisiana",population,72691,NA
22047,"Iberville Parish, Louisiana",population,32956,NA
22049,"Jackson Parish, Louisiana",population,15926,NA
22051,"Jefferson Parish, Louisiana",population,435300,NA
22053,"Jefferson Davis Parish, Louisiana",population,31467,NA
22055,"Lafayette Parish, Louisiana",population,240091,NA
22057,"Lafourche Parish, Louisiana",population,98214,NA
22059,"LaSalle Parish, Louisiana",population,14949,NA
22061,"Lincoln Parish, Louisiana",population,47356,NA
22063,"Livingston Parish, Louisiana",population,138111,NA
22065,"Madison Parish, Louisiana",population,11472,NA
22067,"Morehouse Parish, Louisiana",population,25992,NA
22069,"Natchitoches Parish, Louisiana",population,38963,NA
22071,"Orleans Parish, Louisiana",population,389648,NA
22073,"Ouachita Parish, Louisiana",population,156075,NA
22075,"Plaquemines Parish, Louisiana",population,23373,NA
22077,"Pointe Coupee Parish, Louisiana",population,22158,NA
22079,"Rapides Parish, Louisiana",population,131546,NA
22081,"Red River Parish, Louisiana",population,8618,NA
22083,"Richland Parish, Louisiana",population,20474,NA
22085,"Sabine Parish, Louisiana",population,24088,NA
22087,"St. Bernard Parish, Louisiana",population,45694,NA
22089,"St. Charles Parish, Louisiana",population,52724,NA
22091,"St. Helena Parish, Louisiana",population,10411,NA
22093,"St. James Parish, Louisiana",population,21357,NA
22095,"St. John the Baptist Parish, Louisiana",population,43446,NA
22097,"St. Landry Parish, Louisiana",population,83449,NA
22099,"St. Martin Parish, Louisiana",population,53752,NA
22101,"St. Mary Parish, Louisiana",population,51734,NA
22103,"St. Tammany Parish, Louisiana",population,252093,NA
22105,"Tangipahoa Parish, Louisiana",population,130504,NA
22107,"Tensas Parish, Louisiana",population,4666,NA
22109,"Terrebonne Parish, Louisiana",population,112587,NA
22111,"Union Parish, Louisiana",population,22475,NA
22113,"Vermilion Parish, Louisiana",population,59867,NA
22115,"Vernon Parish, Louisiana",population,51007,NA
22117,"Washington Parish, Louisiana",population,46457,NA
22119,"Webster Parish, Louisiana",population,39631,NA
22121,"West Baton Rouge Parish, Louisiana",population,25860,NA
22123,"West Carroll Parish, Louisiana",population,11180,NA
22125,"West Feliciana Parish, Louisiana",population,15377,NA
22127,"Winn Parish, Louisiana",population,14494,NA
23001,"Androscoggin County, Maine",population,107444,NA
23003,"Aroostook County, Maine",population,68269,NA
23005,"Cumberland County, Maine",population,290944,NA
23007,"Franklin County, Maine",population,30019,NA
23009,"Hancock County, Maine",population,54541,NA
23011,"Kennebec County, Maine",population,121545,NA
23013,"Knox County, Maine",population,39823,NA
23015,"Lincoln County, Maine",population,34067,NA
23017,"Oxford County, Maine",population,57325,NA
23019,"Penobscot County, Maine",population,151748,NA
23021,"Piscataquis County, Maine",population,16887,NA
23023,"Sagadahoc County, Maine",population,35277,NA
23025,"Somerset County, Maine",population,50710,NA
23027,"Waldo County, Maine",population,39418,NA
23029,"Washington County, Maine",population,31694,NA
23031,"York County, Maine",population,203102,NA
24001,"Allegany County, Maryland",population,71977,NA
24003,"Anne Arundel County, Maryland",population,567696,NA
